Depth CCSF (m),Al2O3,SiO2,K2O,TiO2,Fe2O3,CaO,Section
0.9,13.806040135858192,47.229285028641094,1.5666298067830258,0.8881157885310523,6.083160855406099,25.63623400520519,U1474F_1H1
0.92,13.593050478206248,46.22944266907847,1.426818141249648,0.8516110370975746,5.925333482186044,27.183209812606666,U1474F_1H1
0.94,13.309137066472752,46.979695207006806,1.4027167088314816,0.8462622421947521,5.6168644338055795,27.054789962113286,U1474F_1H1
0.96,13.270211765277656,46.65041628420276,1.3926098574836896,0.8387579856493648,5.48098792226876,27.576481805542407,U1474F_1H1
0.98,13.503202325379295,46.30636106184702,1.3734292980536265,0.8332433151126886,5.4299959158486955,27.763233704183335,U1474F_1H1
1.0,13.613766666057733,45.660158314506944,1.4175241124493456,0.8465703751650312,5.580726121363495,28.090720030882093,U1474F_1H1
1.02,13.318161574333011,46.52488673220224,1.3884258165711447,0.8342861243285805,5.372503505213298,27.771201867776394,U1474F_1H1
1.04,12.910070098379846,46.31857489741728,1.3552731645401697,0.8324729091523533,5.406050137186076,28.387024413748943,U1474F_1H1
1.06,13.1912600576276,46.20107255299996,1.3666968412954494,0.838212739456167,5.595057489246077,28.017165939799405,U1474F_1H1
1.08,13.22321835047386,45.98348940284471,1.336670502977343,0.8329438346347943,5.2373222156189865,28.595821313874936,U1474F_1H1
1.1,12.737469985396661,44.79612087056309,1.3815791212393467,0.8714372830706208,5.877983144257809,29.54487521589713,U1474F_1H1
1.12,13.014171070034116,45.78953567261768,1.2888727370879893,0.8282099691900234,5.542855914891331,28.745820256603505,U1474F_1H1
1.14,13.462891293562476,45.10957166816582,1.2449641471712345,0.8065461640339402,5.4408698585329525,29.144622488958223,U1474F_1H1
1.16,13.44258940767774,45.019614954944934,1.2392895915306144,0.8217577839209492,5.245720173350086,29.440493709000325,U1474F_1H1
1.18,13.120510603144284,45.003564562512615,1.2199403526285877,0.809094416719718,5.3416136655597555,29.714742019859678,U1474F_1H1
1.2,12.922974517322757,45.74015663199762,1.2610175302300688,0.8122150658685474,5.619269847281762,28.853832027723886,U1474F_1H1
1.22,13.093858685762237,45.10072887337071,1.2437061611661666,0.8147905174854435,5.582515153854464,29.373866228785626,U1474F_1H1
1.24,13.408202847282581,45.38672378755427,1.2968829269762785,0.8226082365680475,5.582913466829512,28.712134355213966,U1474F_1H1
1.26,13.260336051924128,46.18955927513494,1.2978363169421594,0.8239162718653027,5.557729354210625,28.080088350347495,U1474F_1H1
1.28,13.767327464022266,46.468942677088,1.37317474266539,0.8286734913317272,5.969099861402018,26.802247383915237,U1474F_1H1
1.3,13.486625830121286,46.20403689128251,1.357892418809009,0.8183204282583936,6.015290839200214,27.327299212753232,U1474F_1H1
1.32,13.883783784508706,46.068625769978084,1.316590212048904,0.8200367317657675,5.735041752495843,27.385387369627345,U1474F_1H1
1.34,13.38000575665125,46.27076777311147,1.401394629568922,0.836427261184776,6.204763453176393,27.11610674673183,U1474F_1H1
1.36,13.409829671082896,45.68250080191669,1.3704388751473955,0.8398904903743981,6.065024512236695,27.841781269666576,U1474F_1H1
1.38,13.986147750176007,45.7263264070279,1.3607398656012266,0.8377708376311177,6.056263357345529,27.242217402642872,U1474F_1H1
1.4,13.876477720723518,45.4590352802147,1.4067035456897077,0.8387872324482699,6.353887557922106,27.274574283426343,U1474F_1H1
1.42,13.873928602014571,46.10234127264669,1.4039381438644134,0.8629527902107866,6.013677129147725,26.95262768254047,U1474F_1H1
1.44,13.221508272697843,45.835580349043404,1.3370386053970682,0.8520365450595285,6.018840192702521,27.944461655524275,U1474F_1H1
1.46,13.985665403509804,46.366745833586016,1.4394153390934017,0.8573205958350132,6.236885300372595,26.323433148027817,U1474F_1H1
1.51,13.947352364943356,49.27020289812042,1.6729428238178177,0.8292592938891299,6.940142644642005,22.549565595011927,U1474F_1H2
1.53,13.416767280682091,47.149163788380115,1.7218160628368098,0.8910148338250468,7.377372058212688,24.653331596487906,U1474F_1H2
1.55,13.2793790631886,46.75267294988477,1.670751361061007,0.8760685327882951,7.202561055588728,25.428032657913263,U1474F_1H2
1.57,13.818151110543257,47.253821444828795,1.6350126206748432,0.8820789864798078,6.352568636769836,25.267832821128113,U1474F_1H2
1.59,13.770202291437272,46.19229132558228,1.623714163617346,0.8897114460845932,6.371037970943424,26.362508422759728,U1474F_1H2
1.61,13.99389686129462,45.769106363285744,1.5894751165504413,0.905968007914607,6.282279656993468,26.66873961438577,U1474F_1H2
1.63,13.54680962732454,45.07912265232989,1.5255408586893107,0.8968467091472929,6.298136237655253,27.86300953527835,U1474F_1H2
1.65,13.659136236386196,45.9372814340312,1.449413090253611,0.8558994072131402,5.84968193913297,27.458053513407545,U1474F_1H2
1.67,13.23265773039867,45.58032415391182,1.3977670506854125,0.8666523325686715,5.573827322351077,28.558237030509,U1474F_1H2
1.69,13.316657819975402,45.56900671677086,1.4447140767681166,0.8882656549761941,5.914328511210687,28.076492840723386,U1474F_1H2
1.71,13.50366209270074,45.95789558277061,1.3949216970040381,0.840999203383455,5.729532493225542,27.78245455134027,U1474F_1H2
1.73,13.582626053125598,46.23103610046401,1.3985420834114988,0.8439716088411044,5.571629026340668,27.58166074824177,U1474F_1H2
