Depth (m),Al,Si,K,Ca,Ti,Fe
109.814,13.660364754370846,44.29522528248827,2.4739003870815868,32.29451980903414,0.8115837576043651,6.464406009420784
109.834,13.389416059967086,44.215835670891344,2.3287389434798946,33.00357612302051,0.8169779686431397,6.245455233998023
109.854,13.764702439051513,44.116686669877026,2.300545598114466,32.9125905485841,0.8193996786134113,6.086075065759503
109.874,14.349671267074577,43.915275607930774,2.3787407799561002,32.43200167243616,0.8061055542684041,6.118205118333992
109.89399999999999,13.574843917406326,43.584584840222334,2.1321157207404666,33.91957636643965,0.7970029576178718,5.991876197573342
109.914,13.557968445599567,43.68386415234256,2.1995396837712415,33.573130998150205,0.7882829622122947,6.197213757924139
109.934,13.617455287330294,43.596263707853346,2.130940110955071,33.74261737192717,0.8001634414295503,6.112560080504572
109.954,13.61034266748684,43.611236613801736,2.1900043026908125,33.651126919054185,0.8014381083297134,6.135851388636708
109.97399999999999,13.71523656138467,43.24054501572382,2.0997031612965333,34.09285978602458,0.7964867971684648,6.055168678401943
109.994,13.614733017387065,43.45234729875253,2.152616061599176,33.770251457843656,0.7928518240537714,6.217200340363823
110.014,13.3113681749649,43.71470584590131,2.0855569161433976,34.01222446794623,0.7998245562125041,6.076320038831667
110.03399999999999,13.332146149194275,43.72640736029239,2.1844288095787614,33.68623898538624,0.8124961491142785,6.25828254643407
110.054,13.099331359240269,43.79849080379921,2.110320674890632,34.0520066849125,0.7985745184319789,6.141275958725401
110.074,13.42450208591445,43.21495098549956,2.1053268743063724,34.38922984859955,0.7963701167126249,6.069620088967448
110.094,13.291984169760262,43.38255183665223,2.1064265310650807,34.20765758262155,0.7922955421368847,6.219084337763972
110.11399999999999,13.826002627243936,43.663810787360205,2.2036116796821643,33.219912520497665,0.7975412318092007,6.2891211534068345
110.134,13.343076273130649,43.92393779721231,2.239662402063009,33.35415545600458,0.8120998961525612,6.327068175436904
110.154,13.821457500519694,43.640671215552075,2.1901539742222016,33.4944637051962,0.8075910154648605,6.04566258904498
110.17399999999999,13.276370777795629,43.703770527365684,2.1480199324651155,33.99890670213838,0.814963612014407,6.057968448220792
110.194,13.973613758254624,43.7474619710882,2.4412618875519687,32.340751079378165,0.8282704382740232,6.668640865453009
110.214,13.871032987853498,43.9724169000106,2.3774708530620976,32.53084541581073,0.8271467915778841,6.421087051685194
110.234,13.87590185034308,44.03087977393375,2.524093474713625,31.92300941410923,0.8407680436612611,6.805347443239055
110.25399999999999,14.292790893290967,44.20551172001677,2.6510538345969574,31.281797891783853,0.8545827846582067,6.71426287565324
110.274,14.132906931831748,44.19621451430261,2.6681490960416867,31.432564023466362,0.8554875602400643,6.71467787411752
110.294,14.074495567460946,44.16139763360034,2.857562889634231,30.860948982267388,0.8654142369352715,7.1801806901018335
110.314,13.886623656661332,44.224679933686424,2.861783844947443,30.80704467777532,0.8531138275950885,7.366754059334402
110.334,14.270364540320706,44.35337194090196,3.082979701254541,30.167378083764202,0.8730079209198844,7.252897812838705
110.36,14.126635647151936,44.50678627439847,2.9964624903475343,30.558065946408774,0.8677062550039472,6.944343386689328
110.38,14.07020951699274,44.72517516033186,2.79300106455923,30.80734440898738,0.8596369699753895,6.744632879153397
110.4,14.189043627927584,44.72112588738216,2.8914044677577824,30.533786808608287,0.8635965707981207,6.801042637526073
110.42,13.99397051045199,44.43970524473605,2.851075513126516,30.727480978832816,0.8588414076518943,7.128926345200743
110.44,13.70472510301235,44.32651101067219,2.7056558752840925,31.272771490170605,0.8482285411256862,7.142107979735091
110.46,13.868166134835578,44.354466279049795,2.747229226626347,31.105562571208186,0.8401161642777014,7.084459624002405
110.48,14.232895711704957,44.04958731650139,2.592634926009175,31.761648431202822,0.8455335080390132,6.517700106542651
110.5,13.557779133347076,44.671400146091536,2.6297044293962895,31.751909400622573,0.8351432040530306,6.554063686489496
